Year,1,2,3,4,5,6,7,8,9,10,11,12
297,30,30,29,29,30,29,30,29,29,30,29,30
298,30,30,29,30,29,30,29,30,29,29,30,29
299,30,30,29,30,30,29,30,29,30,29,29,30
300,29,30,29,30,30,29,30,30,29,30,29,30
301,29,29,30,29,30,29,30,30,29,30,30,29
302,30,29,29,30,29,30,29,30,30,29,30,30
303,29,30,29,29,30,29,30,29,30,29,30,30
304,29,30,29,30,29,30,29,30,29,29,30,30
305,29,30,30,29,30,29,30,29,30,29,29,30
306,29,30,30,29,30,30,29,30,29,30,29,29
307,30,29,30,29,30,30,30,29,30,29,30,29
308,29,30,29,29,30,30,30,29,30,30,29,30
309,29,29,29,30,29,30,30,29,30,30,30,29
310,30,29,29,29,30,29,30,30,29,30,30,29
311,30,29,30,29,29,30,30,29,30,29,30,29
312,30,30,29,30,29,30,29,30,29,30,29,29
313,30,30,29,30,29,30,30,29,30,29,30,29
314,29,30,29,30,30,30,29,30,29,30,29,30
315,29,29,30,29,30,30,29,30,30,29,30,29
316,30,29,29,29,30,30,29,30,30,30,29,30
317,29,30,29,29,30,29,30,29,30,30,29,30
318,30,29,30,29,29,30,29,30,29,30,29,30
319,30,29,30,29,30,30,29,29,30,29,29,30
320,30,29,30,30,29,30,30,29,29,30,29,29
321,30,30,29,30,30,29,30,30,29,29,30,29
322,29,30,29,30,30,29,30,30,29,30,29,30
323,29,29,30,29,30,29,30,30,29,30,29,30
324,30,29,30,29,29,30,29,30,29,30,30,29
325,30,30,29,30,29,29,30,29,30,29,29,30
326,30,30,30,29,30,29,29,30,29,29,30,29
327,30,30,30,29,30,30,29,29,30,29,29,30
328,29,30,30,30,29,30,29,30,29,29,30,29
329,30,29,30,30,29,30,30,29,30,29,29,30
330,29,30,29,30,29,30,30,29,30,29,30,29
331,30,30,29,29,30,29,30,29,30,29,30,30
332,30,29,30,29,29,30,29,30,29,29,30,30
333,30,30,29,30,29,30,29,29,30,29,29,30
334,30,30,29,30,30,29,30,29,29,29,30,29
335,30,30,29,30,30,29,30,30,29,29,29,30
336,30,29,30,29,30,30,29,30,29,30,29,30
337,29,30,29,30,29,30,29,30,30,29,30,29
338,30,29,30,29,29,30,29,30,30,29,30,30
339,29,30,29,30,29,29,30,29,30,29,30,30
340,30,29,30,29,30,29,29,30,29,30,29,30
341,30,29,30,30,29,29,30,29,30,29,30,29
342,30,29,30,30,29,30,29,30,30,29,29,30
343,29,30,29,30,29,30,30,29,30,30,29,29
344,30,29,29,30,29,30,29,30,30,30,30,29
345,29,30,29,29,30,29,30,29,30,30,30,29
346,30,29,30,29,29,29,30,30,29,30,30,30
347,29,30,29,30,29,29,30,29,30,29,30,30
348,29,30,29,30,29,30,29,30,29,30,29,30
349,29,30,30,29,30,29,30,29,30,29,30,29
350,30,29,30,29,30,29,30,30,30,29,29,30
351,29,30,29,29,30,29,30,30,30,30,29,29
352,30,29,30,29,29,29,30,30,30,30,29,30
353,29,30,29,30,29,29,30,29,30,30,30,29
354,30,29,30,29,29,30,29,30,29,30,30,29
355,30,30,29,30,29,29,30,30,29,29,30,29
356,30,30,29,30,30,29,30,29,30,29,29,30
357,29,30,29,30,30,29,30,30,29,30,29,29
358,30,29,30,29,30,29,30,30,30,29,30,29
359,29,30,29,30,29,29,30,30,30,29,30,29
360,30,29,30,29,30,29,29,30,30,29,30,30
361,29,30,29,30,29,30,29,29,30,29,30,30
362,29,30,30,29,30,29,30,29,29,30,29,30
363,29,30,30,30,29,30,29,30,29,29,30,29
364,29,30,30,30,29,30,30,29,30,29,29,30
365,29,29,30,30,29,30,30,30,29,30,29,29
366,29,30,29,30,30,29,30,30,29,30,29,30
367,29,30,29,30,29,30,29,30,29,30,29,30
368,29,30,30,29,30,29,30,29,29,30,29,30
369,30,29,30,30,29,30,29,30,29,29,30,29
370,30,29,30,30,30,29,30,29,30,29,29,29
371,30,30,29,30,30,30,29,30,29,30,29,29
372,29,30,30,29,30,30,29,30,30,29,30,29
373,29,30,29,30,29,30,29,30,30,30,29,29
374,30,29,30,29,30,29,30,29,30,30,29,30
375,29,30,30,29,29,30,29,29,30,30,29,30
376,30,29,30,30,29,29,30,29,29,30,29,30
377,30,29,30,30,29,30,29,30,29,30,29,29
378,30,29,30,30,30,29,30,29,30,29,30,29
379,29,30,29,30,30,29,30,29,30,30,29,30
380,29,29,30,29,30,29,30,29,30,30,30,29
381,30,29,29,30,29,30,29,29,30,30,30,30
382,29,30,29,29,30,29,29,30,29,30,30,30
